ID,Serovar,AMOCLA,AMPICI,AZITHR,CEFOXI,CEFTIF,CEFTRI,CHLORA,CIPROF,GENTAM,NALAC,STREPT,SULFIZ,TETRA,TRISUL
1797,Enteritidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Enteritidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Enteritidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3167,Enteritidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3169,Enteritidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3180,Enteritidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3181,Enteritidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3303,Enteritidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3348,Enteritidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3125,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3133,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3135,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3137,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3142,Hadar,0,1,0,0,0,0,0,0,0,0,1,0,1,0
3138,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3139,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3146,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3147,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3186,Hadar,1,1,0,1,1,1,0,0,0,0,1,0,1,0
3191,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3158,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3149,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3352,Enteritidis,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3197,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3156,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3200,Hadar,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3353,Hadar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760,Heidelberg,1,1,0,1,1,1,0,0,0,0,0,0,0,0
1762,Heidelberg,1,1,0,1,1,1,0,0,0,0,0,0,0,0
1766,Heidelberg,1,1,0,1,1,1,0,0,0,0,0,0,0,0
1767,Heidelberg,1,1,0,1,1,1,0,0,0,0,0,0,0,0
1768,Heidelberg,1,1,0,1,1,1,0,0,0,0,0,0,0,0
1769,Heidelberg,1,1,0,1,1,1,0,0,0,0,1,0,0,0
1770,Heidelberg,1,1,0,1,1,1,0,0,0,0,0,0,0,0
