cgmlst_ST	cgmlst_distance	cgmlst_genome_match	cgmlst_matching_alleles	cgmlst_subspecies	fasta_filepath	genome	h1	h2	mash_distance	mash_genome	mash_match	mash_serovar	mash_subspecies	o_antigen	qc_messages	qc_status	serogroup	serovar	serovar_antigen	serovar_cgmlst
3726573214.0	0.009090909090909038	SAL_HA3537AA	327	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1685_irida-submission-7314.fasta	../../genomes/1758_irida-submission-4654.fasta	g,m	-	2.3827399999999998e-05	69744	999	Enteritidis	enterica	1,9,12		PASS	D1	Enteritidis	Blegdam|Dublin|Enteritidis|Gueuletapee|Hillingdon|Kiel|Moscow|Naestved|Nitra|Rostock	Enteritidis
3033477261.0	0.009090909090909038	SAL_EA7382AA	327	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1760_irida-submission-4658.fasta	1760_irida-submission-4658	r	1,2	0.00058191	68683	976	Heidelberg	enterica	1,4,[5],12		PASS	B	Heidelberg	Heidelberg	Heidelberg
3033477261.0	0.009090909090909038	SAL_EA7382AA	327	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1762_irida-submission-4660.fasta	1762_irida-submission-4660	r	1,2	0.00060662	68683	975	Heidelberg	enterica	1,4,[5],12		PASS	B	Heidelberg	Heidelberg	Heidelberg
2175089819.0	0.0060606060606061	SAL_DA1972AA	328	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1763_irida-submission-7461.fasta	1763_irida-submission-7461	l,v	e,n,z15	0.000167546	SRR1257273	993	Brandenburg	enterica	4,[5],12		PASS	B	Brandenburg	Brandenburg	Brandenburg
3223729932.0	0.009090909090909038	SAL_BA3197AA	327	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1765_irida-submission-7463.fasta	1765_irida-submission-7463	l,v	e,n,z15	0.0006561539999999999	SRR1029575	973	Brandenburg	enterica	4,[5],12		PASS	B	Brandenburg	Brandenburg	Brandenburg
3033477261.0	0.009090909090909038	SAL_EA7382AA	327	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1766_irida-submission-4662.fasta	1766_irida-submission-4662	r	1,2	0.00060662	68683	975	Heidelberg	enterica	1,4,[5],12		PASS	B	Heidelberg	Heidelberg	Heidelberg
159515364.0	0.012121212121212088	SAL_CA8784AA	326	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1767_irida-submission-4664.fasta	1767_irida-submission-4664	r	1,2	0.00060662	68683	975	Heidelberg	enterica	1,4,[5],12		PASS	B	Heidelberg	Heidelberg	Heidelberg
159515364.0	0.012121212121212088	SAL_CA8784AA	326	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1768_irida-submission-4666.fasta	1768_irida-submission-4666	r	1,2	0.00060662	68683	975	Heidelberg	enterica	1,4,[5],12		PASS	B	Heidelberg	Heidelberg	Heidelberg
159515364.0	0.012121212121212088	SAL_CA8784AA	326	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1769_irida-submission-4668.fasta	1769_irida-submission-4668	r	1,2	0.000631368	68683	974	Heidelberg	enterica	1,4,[5],12		PASS	B	Heidelberg	Heidelberg	Heidelberg
3033477261.0	0.009090909090909038	SAL_EA7382AA	327	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1770_irida-submission-4670.fasta	1770_irida-submission-4670	r	1,2	0.00058191	68683	976	Heidelberg	enterica	1,4,[5],12		PASS	B	Heidelberg	Heidelberg	Heidelberg
3033477261.0	0.009090909090909038	SAL_EA7382AA	327	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1771_irida-submission-4672.fasta	1771_irida-submission-4672	r	1,2	0.00058191	68683	976	Heidelberg	enterica	1,4,[5],12		PASS	B	Heidelberg	Heidelberg	Heidelberg
2883277299.0	0.012121212121212088	SAL_EA0150AA	326	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1772_irida-submission-4674.fasta	1772_irida-submission-4674	r	1,2	0.00058191	68683	976	Heidelberg	enterica	1,4,[5],12		PASS	B	Heidelberg	Heidelberg	Heidelberg
3033477261.0	0.009090909090909038	SAL_EA7382AA	327	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1773_irida-submission-4676.fasta	1773_irida-submission-4676	r	1,2	0.00058191	68683	976	Heidelberg	enterica	1,4,[5],12		PASS	B	Heidelberg	Heidelberg	Heidelberg
841298400.0	0.012121212121212088	SAL_EA9008AA	326	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1775_irida-submission-4678.fasta	1775_irida-submission-4678	r	1,2	0.00075568	68683	969	Heidelberg	enterica	1,4,[5],12		PASS	B	Heidelberg	Heidelberg	Heidelberg
2175089819.0	0.0060606060606061	SAL_DA1972AA	328	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1776_irida-submission-9334.fasta	1776_irida-submission-9334	l,v	e,n,z15	0.000191626	SRR1257273	992	Brandenburg	enterica	4,[5],12		PASS	B	Brandenburg	Brandenburg	Brandenburg
2267312907.0	0.0060606060606061	SAL_GA3373AA	328	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1778_2_irida-submission-9336.fasta	1778_2_irida-submission-9336	i	z6	4.769060000000001e-05	SRR1300726	998	Kentucky	enterica	8,20		PASS	C2-C3	Kentucky	Kentucky	Kentucky
2267312907.0	0.0060606060606061	SAL_GA3373AA	328	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1778_irida-submission-4656.fasta	1778_irida-submission-4656	i	z6	7.15897e-05	SRR1300726	997	Kentucky	enterica	8,20		PASS	C2-C3	Kentucky	Kentucky	Kentucky
2267312907.0	0.0060606060606061	SAL_GA3373AA	328	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1783_irida-submission-10146.fasta	1783_irida-submission-10146	i	z6	4.769060000000001e-05	20793	998	Kentucky	enterica	8,20		PASS	C2-C3	Kentucky	Kentucky	Kentucky
1617846012.0	0.018181818181818188	SRR949856	324	enterica	/home/fin/Documents/postdoc/salmonella/full_analysis/genomes/1792_irida-submission-4680.fasta	1792_irida-submission-4680	i	-	0.00011949600000000001	SRR1195662	995	I 4,[5],12:i:-	enterica	4,[5],12		PASS	B	I 4,[5],12:i:-	I 4,[5],12:i:-	I 4,[5],12:i:-
